
country,year,short_nominal_cs
FI,2015,0.1000000007450581
FI,2016,0.05
FI,2017,0.05
FI,2018,0.05
FI,2019,0.05
FI,2020,0.05
FI,2021,0.05
FI,2022,2.55
FR,2000,4.93
FR,2001,3.43
FR,2002,2.93
FR,2003,2.18
FR,2004,2.18
FR,2005,2.43
FR,2006,3.68
FR,2007,4.18
FR,2008,2.68
FR,2009,1.18
FR,2010,1.18
FR,2011,1.18
FR,2012,0.9299999999999999
FR,2013,0.43
FR,2014,0.2300000007450581
FR,2015,0.2300000007450581
FR,2016,0.18
FR,2017,0.18
FR,2018,0.18
FR,2019,0.18
FR,2020,0.18
FR,2021,0.18
FR,2022,2.68
GR,2000,5.02
GR,2001,3.52
GR,2002,3.02
GR,2003,2.27
GR,2004,2.27
GR,2005,2.52
GR,2006,3.77
GR,2007,4.27
GR,2008,2.77
GR,2009,1.27
GR,2010,1.27
GR,2011,1.27
GR,2012,1.02
GR,2013,0.52
GR,2014,0.32000000074505813
GR,2015,0.32000000074505813
GR,2016,0.27
GR,2017,0.27
GR,2018,0.27
GR,2019,0.27
GR,2020,0.27
GR,2021,0.27
GR,2022,2.77
HR,2000,4.87
HR,2001,3.37
HR,2002,2.87
HR,2003,2.12
HR,2004,2.12
HR,2005,2.37
HR,2006,3.62
HR,2007,4.12
HR,2008,2.62
HR,2009,1.12
HR,2010,1.12
HR,2011,1.12
HR,2012,0.87
HR,2013,0.37
HR,2014,0.1700000007450581
HR,2015,0.1700000007450581
HR,2016,0.12
HR,2017,0.12
HR,2018,0.12
HR,2019,0.12
HR,2020,0.12
HR,2021,0.12
HR,2022,2.62
IE,2000,4.97
IE,2001,3.47
IE,2002,2.97
IE,2003,2.22
IE,2004,2.22
IE,2005,2.47
IE,2006,3.72
IE,2007,4.22
IE,2008,2.72
IE,2009,1.22
IE,2010,1.22
IE,2011,1.22
IE,2012,0.97
IE,2013,0.47
IE,2014,0.2700000007450581
IE,2015,0.2700000007450581
IE,2016,0.22
IE,2017,0.22
IE,2018,0.22
IE,2019,0.22
IE,2020,0.22
IE,2021,0.22
IE,2022,2.72
IT,2000,5.05
IT,2001,3.55
IT,2002,3.05
IT,2003,2.3
IT,2004,2.3
IT,2005,2.55
IT,2006,3.8
IT,2007,4.3
IT,2008,2.8
IT,2009,1.3
IT,2010,1.3
IT,2011,1.3
IT,2012,1.05
IT,2013,0.55
IT,2014,0.3500000007450581
IT,2015,0.3500000007450581
IT,2016,0.3
IT,2017,0.3
IT,2018,0.3
IT,2019,0.3
IT,2020,0.3
IT,2021,0.3
IT,2022,2.8
LT,2000,5.15
LT,2001,3.65
LT,2002,3.15
LT,2003,2.4
LT,2004,2.4
LT,2005,2.65
LT,2006,3.9
LT,2007,4.4
LT,2008,2.9
LT,2009,1.4
LT,2010,1.4
LT,2011,1.4
LT,2012,1.15
LT,2013,0.65
LT,2014,0.45000000074505814
LT,2015,0.45000000074505814
LT,2016,0.4
LT,2017,0.4
LT,2018,0.4
LT,2019,0.4
LT,2020,0.4
LT,2021,0.4
LT,2022,2.9
LU,2000,4.85
LU,2001,3.35
LU,2002,2.85
LU,2003,2.1
LU,2004,2.1
LU,2005,2.35
LU,2006,3.6
LU,2007,4.1
LU,2008,2.6
LU,2009,1.1
LU,2010,1.1
LU,2011,1.1
LU,2012,0.85
LU,2013,0.35
LU,2014,0.1500000007450581
LU,2015,0.1500000007450581
LU,2016,0.1
LU,2017,0.1
LU,2018,0.1
LU,2019,0.1
LU,2020,0.1
LU,2021,0.1
LU,2022,2.6
LV,2000,5.05
LV,2001,3.55
LV,2002,3.05
LV,2003,2.3
LV,2004,2.3
LV,2005,2.55
LV,2006,3.8
LV,2007,4.3
LV,2008,2.8
LV,2009,1.3
LV,2010,1.3
LV,2011,1.3
LV,2012,1.05
LV,2013,0.55
LV,2014,0.3500000007450581
LV,2015,0.3500000007450581
LV,2016,0.3
LV,2017,0.3
LV,2018,0.3
LV,2019,0.3
LV,2020,0.3
LV,2021,0.3
LV,2022,2.8
MT,2000,5.0
MT,2001,3.5
MT,2002,3.0
MT,2003,2.25
MT,2004,2.25
MT,2005,2.5
MT,2006,3.75
MT,2007,4.25
MT,2008,2.75
MT,2009,1.25
MT,2010,1.25
MT,2011,1.25
MT,2012,1.0
MT,2013,0.5
MT,2014,0.3000000007450581
MT,2015,0.3000000007450581
MT,2016,0.25
MT,2017,0.25
MT,2018,0.25
MT,2019,0.25
MT,2020,0.25
MT,2021,0.25
MT,2022,2.75
NL,2000,4.95
NL,2001,3.45
NL,2002,2.95
NL,2003,2.2
NL,2004,2.2
NL,2005,2.45
NL,2006,3.7
NL,2007,4.2
NL,2008,2.7
NL,2009,1.2
NL,2010,1.2
NL,2011,1.2
NL,2012,0.95
NL,2013,0.45
NL,2014,0.2500000007450581
NL,2015,0.2500000007450581
NL,2016,0.2
NL,2017,0.2
NL,2018,0.2
NL,2019,0.2
NL,2020,0.2
NL,2021,0.2
NL,2022,2.7
PT,2000,5.05
PT,2001,3.55
PT,2002,3.05
PT,2003,2.3
PT,2004,2.3
PT,2005,2.55
PT,2006,3.8
PT,2007,4.3
PT,2008,2.8
PT,2009,1.3
PT,2010,1.3
PT,2011,1.3
PT,2012,1.05
PT,2013,0.55
PT,2014,0.3500000007450581
PT,2015,0.3500000007450581
PT,2016,0.3
PT,2017,0.3
PT,2018,0.3
PT,2019,0.3
PT,2020,0.3
PT,2021,0.3
PT,2022,2.8
SI,2000,5.1
SI,2001,3.6
SI,2002,3.1
SI,2003,2.35
SI,2004,2.35
SI,2005,2.6
SI,2006,3.85
SI,2007,4.35
SI,2008,2.85
SI,2009,1.35
SI,2010,1.35
SI,2011,1.35
SI,2012,1.1
SI,2013,0.6
SI,2014,0.4000000007450581
SI,2015,0.4000000007450581
SI,2016,0.35
SI,2017,0.35
SI,2018,0.35
SI,2019,0.35
SI,2020,0.35
SI,2021,0.35
SI,2022,2.85
SK,2000,5.03
SK,2001,3.5300000000000002
SK,2002,3.0300000000000002
SK,2003,2.2800000000000002
SK,2004,2.2800000000000002
SK,2005,2.5300000000000002
SK,2006,3.7800000000000002
SK,2007,4.28
SK,2008,2.7800000000000002
SK,2009,1.28
SK,2010,1.28
SK,2011,1.28
SK,2012,1.03
SK,2013,0.53
SK,2014,0.33000000074505814
SK,2015,0.33000000074505814
SK,2016,0.28
SK,2017,0.28
SK,2018,0.28
SK,2019,0.28
SK,2020,0.28
SK,2021,0.28
SK,2022,2.7800000000000002
